id_branche_terroriste;libellé_branche_terroriste
0;unspecified
1;101st Battalion
2;103rd Base Command
3;105th Base Command
4;10th Front
5;10th Guadalupe Salcedo Front
6;110th Base Command Eastern Mindanao Front
7;11th Front
8;12th Front
9;13th Front
10;14th and 15th Fronts
11;15th Jose Ignacio Mora Front
12;16th Jose Antonio Paez Leon Front
13;17th Angelino Godoy Front
14;18th Cacique Coyara Front
15;1st Armando Rios Front
16;1st Coastal Brigade
17;"1st Coastal Brigade; 10th Brigade"
18;1st Front
19;1st Pulang Bagani Battalion
20;21st Tulio Varon Front
21;24th Antonio Narino Front
22;252 Mobile Battalion
23;26th Hermogenes Maza Front
24;27th Isaias Pardo Front
25;28th Front, 26th Mobile Brigade
26;29 de Mayo Company
27;29th Alfonso Arteaga Front
28;2nd Brigade
29;30th Rafael Aguilera Front
30;313 Brigade
31;32nd Front
32;33rd Mariscal Antonio Jose de Sucre Front
33;33th Front
34;33th Fronth
35;34th Alberto Martinez Front
36;34th Front
37;36th Jair Aldana Baquero Front
38;37th Martin Caballero Front
39;39th Joaquin Ballen Front
40;3rd Arturo Medina Front
41;3rd Front
42;3rd Oswaldo Patino Front
43;40th Jacobo Arenas Front
44;43th Fronth
45;44th Antonio Ricaurte Front
46;45th Atanasio Girardot Front
47;48th Pedro Martinez Front
48;49th Hector Ramirez Front
49;4th Front
50;4th Jose Antonio Galan Front
51;53rd Jose A. Anzoategui Front
52;54th Angel Bonilla Front
53;"55th Teofilo Forero Front; Jacobo Arenas Mobile Column"
54;58th Heroes and Martyrs of Las Canas Front
55;59th Resistencia Guajira Front
56;5th Antonio Narino Front
57;5th Front
58;60th Front
59;61st Timanco Front
60;6th Front
61;6th Hernando Gonzalez Acosta Front
62;"6th Hernando Gonzalez Acosta Front; Jacobo Arenas Mobile Column"
63;7th Jacobo Prias Alape Front
64;8th Front
65;8th Jose Gonzalo Franco Front
66;"8th Jose Gonzalo Franco Front; Jacobo Arenas Mobile Column"
67;8th Pulang Bagani Battalion
68;Abd el-Qader el-Husseini Brigade
69;Abdul Wahid Faction
70;Abid Machar Group
71;Abida tribe
72;Abu al-Fadl Abbas Group
73;Abu Ali Mustafa Brigades
74;Abu Ammar Brigade
75;Abu Ayyub al-Ansari Brigade
76;Acilciler
77;Activist
78;Activists
79;Adan Abyan Islamic Army (AAIA)
80;Afiya Siddiqui Brigade
81;Afrikaner Republican League
82;Afzal Guru Squad
83;Against All Political Order
84;Agitators
85;Ahfad Al Rasoul Brigade
86;Ahfrad al-Rasul
87;Ahrar Al Jalil Brigades
88;Ahrar al-Sham
89;Ahrar-ul-Hind
90;Aibed-Errahmane katibat
91;Ajad Faction
92;Ajang-Ajang Group
93;Ajnad al-Sham
94;Ajnad al-Sham Islamic Union
95;Akhilesh Squad
96;Akhmadov Brothers
97;Akuma Strike Team
98;Al Anbar Province of the Islamic State
99;Al Aqsa Liberation Brigades
100;Al Furat Province of the Islamic State
101;Al Hasakah Province of the Islamic State
102;Al Hijra Group
103;Al Islamiya
104;Al Jabbar squad
105;Al Janub Province of the Islamic State
106;Al Jazirah Province of the Islamic State
107;Al Nasir Salah Al Din Brigades
108;Al Nasir Salah al-Din Brigades
109;Al Nasser Salah Al Din Brigade
110;Al Quds Brigades
111;Al Quds Brigades -- Martyr Leader Fathi Al Shiqaqi Brigades
112;Al Shabwan tribe
113;Al-Aalmi
114;Al-Alami
115;al-Aqsa Battallions
116;Al-Aqsa Brigades
117;Al-Bara bin Malek Jihad Brigades
118;Aleppo Province of the Islamic State
119;Alex Boncayao Brigade (ABB)
120;Alfredo Cesar Command
121;Alfredo Gomez Quinones Front
122;Al-Furqan Islamic Court
123;al-Hamza Brigade
124;Al-'Iqab al-Thawri Movement
125;Alirio Torres Mobile Column
126;Al-Izzah
127;"Al-Izzah; Jaish al-Tahrir"
128;All Tripura Tribal Force
129;Al-Malahem Battalion
130;Al-Mansooreen Brigade
131;Al-Mourabitoun
132;Al-Mukhtiar Group
133;Al-Nasir Salah al-Din Brigades
134;Al-Nusrah Front in Lebanon
135;ALQ
136;al-Quds Brigades
137;al-Rafidayn - Vanguard of the Hezbollah
138;Al-Rahman Corps
139;Al-Shabaab sympathizers.
140;Al-Shohada Brigade
141;Al-Suwayda Commando Brigade
142;Altaf Factiion
143;Alvaro Rodrigo Command
144;Amal Security Bureau
145;Ambrosio Gonzalez Mobile Column
146;Amniyat
147;Anarchist Organization
148;Anarchists
149;Andalusian Separatists
150;Andhra-Chhattishgarh Border (ACB)
151;Andhra-Odisha-Chhattisgarh Border Committee
152;Andhra-Orissa Border Committee
153;Andreas Baader Brigade, German Liberation Popular Front
154;Angelino Godoy
155;Anjuman
156;Anna Maria Ludmann Fighting Unit
157;An-Nasser Salah ad Din Brigades
158;Ansar al-Islam
159;Ansar Al-Sharia
160;Ansar al-Sharia in Benghazi
161;Ansar al-Sharia in Derna
162;Ansar al-Sharia/Company of Um al-Mu'minin [Mother of the Believers] A'isha
163;Antagarh Local Operation Squad
164;Anti-Fascist Front
165;Anti-Imperial and Anti-Emperor
166;Anti-Imperialist Centrol Holger Meins
167;Anti-Jewish Group
168;Anti-Red Squad
169;Anti-Talks faction
170;Antonio Licawen Front Operational Command
171;Antonio Narino Urban Network
172;Apolonio Mendoza Command (AMC)
173;AQLIM faction led by emir El Kazouit
174;Arab Revolutionary Brigades
