id_entreprise;libellé_entreprise
0;unspecified
1;-
2;"""5 pm"" newspaper"
3;"""Administration party"""
4;"""Bernas"" daily newspaper"
5;"""Cite Universitaire"""
6;"""Dolls"" Club"
7;"""I Messagers"""
8;"""Il Giorno"" newspaper"
9;"""Israeli"" Bank, name unk"
10;"""L Hidaya"" Muslim cultural centre"
11;"""La Gaceta del Nonte"""
12;"""La Patria"" Newspaper"
13;"""La Prensa"""
14;"""L'evenement Du Jeudi"", a magazine"
15;"""Nation"""
16;"""Ronderos"" Civil Defense Group"
17;"""Sunday Leader"" newspaper"
18;"""The Guardian"" Newspaper"
19;"""The Kick"" radio show"
20;"""Voice of East Timor"" Daily Newspaper"
21;(DCG) Guatemalan Christian Democracy Party
22;(District) Chair for Elbar town
23;(District) Chief
24;(District) commissioner, deputy commissioner, Police officers
25;(District) governor
26;(District) Headquarters
27;(District) law enforcement of Pattani Province
28;(District) Monitoring Committee Official
29;(DjajanTi Group) Kemundan Raya Co., Ltd
30;(Independent Candidates)
31;(of) Repentant Brigade Member Patrizio Peci
32;(PNF) Progressive National Front Party
33;(Sandoz)
34;*
35;?
36;057 Drug and Narcotics Control office
37;1 Tourist
38;1 Vradhini
39;10 civilians
40;101 Brigade
41;105th Infantry Brigade
42;1070 District
43;1070 Neighborhood
44;12301 Rajdhani Express
45;12th Municipal Penal Court
46;12th Ward Chairman in Kathmandu
47;13 trucks
48;13331 Dhanbad-Patna Intercity Express
49;14 Nation East-West Conference
50;148th PC comp.
51;15 Bank
52;15th Jat Regiment
53;166th Brigade
54;168 hours *
55;16th Infantry Battalion
56;17th Field Regiment, Army
57;19 April Democratic Alliance
58;19 April Movement Democratic Alliance
59;1920 Revolution Brigades
60;19th of April Movement
61;1st Infantry Brigade
62;2 15 year old students
63;2 french buildings
64;2 tourists
65;2,000 Market
66;20 Party Alliance
67;2000'e Dogru (toward the year 2000)  *
68;218-EB Girls' Middle School
69;22 May Sport and Cultural Club
70;22nd Mountain Infantry Reg
71;232 Phil. Constabulary
72;23rd task force job creation project
73;28th October Park
74;29th Assam Rifle
75;29th Forest Rangers Regiment
76;2-M Construction Company
77;3 Unknown Mala
78;3000 Apartments Neighborhood
79;36 Assam Rifles
80;360 Housing Estate
81;3i-taiim Café
82;3rd of october agricultural society in huamachuco
83;4,000 Market
84;46th Infantry Battalion
85;5 Kanal TV
86;513th Engineer Construction Co.
87;5th National Guard Co
88;6 different Police stations
89;60-Member Committee
90;6PR Radio Station
91;6th Civil Military Operations (CMO)
92;7/Eleven
93;72 Year old Buddhist Grocer
94;7-Eleven
95;7FreeDays Club
96;7th Infantry Battalion soldier
97;900-MW GMR Upper Karnali Hydropower Limited
98;969 Movement
99;97.5 MUEWS Radio
100;A bank
101;A Bengali citizen
102;A bishop
103;A book store
104;A border crossing
105;A brewery
106;A bridge
107;A bridge in Cherkessk
108;A bridge near Khasavyurt
109;A British businessman and his four bodygaurds
110;A British Security Company
111;A British tourist
112;A brothel
113;A Buddhist Thai man
114;A bus
115;A bus in Vratnice
116;A bus station
117;A bus stop in Haifa
118;A bus terminal
119;A bus transporting teachers to Geffanim school
120;A business in Corsica
121;A café
122;A café and patrons
123;A café in Tetovo, Macedonia
124;A Canadian company
125;A car belonging to the Russian Embassy
126;A car dealership
127;A Catholic bar in Northern Ireland
128;A Catholic chapel
129;A Catholic church
130;A Catholic college
131;A Catholic School in Yala
132;A cellular phone company
133;A cellular phone store
134;A charity
135;A chieftain of Mosul City
136;A Chinese airline
137;A Chinese company
138;A Chinese hotel
139;A Christian church
140;A Church
141;A cinema
142;A circus
143;A civilian
144;A civilian residence
145;A college professor
146;A Colombian hotel
147;A Colombian restaurant
148;A Communist Party of India-Marxist (CPM)
149;A company building
150;A construction company
151;A Corsican piano bar
152;A councilor
153;A couple traveling in Jordan Valley
154;A court house
155;A courthouse
156;A Croatian monument
157;A Cuncolta Naziunalista
158;A dam
159;A deputy governor
160;A discotheque
161;A district commissioner
162;A district courtroom
163;A district governor
164;A doctor working for InterNational Medical Corps
165;A factory
166;A family in Ballykeel, County Antrim
167;A family in Garot Kupula Jurong village
168;A family in Nairobi
169;A family traveling outside Glogovac
170;A family traveling outside Tekoa
171;A farm
172;A father and his 13-year-old son
173;A federation of Islamic Assassinations
174;A Fiama
175;A former Iranian prime minister
176;A former Iraqi judge
177;A former leader of the Lebanese Communist Party
178;A former mayor
179;A funeral procession in Hebron
180;A gas company
181;A gas pipeline
182;A gas station
183;A gay club
184;A Georgetown bar
185;A girls school
186;A gothic cathedral
187;A government car
188;A government high school
189;A government official
190;A government primary school
191;A government-run girls' school
192;A government-run primary school
193;A hardware store owned by locals
194;A health center
195;A health clinic
196;A helicopter
197;A helipad
198;A high rise department store
199;A high school
200;A Hindu temple
201;A hospital
202;A hotel
203;A hotel pub
204;A Husseiniya Mosque
205;A journalist
206;A judge
207;A Just Russia Party
208;A Kampala market
209;A Kuwait Airways airplane
210;A leading French government official
211;A Levies personnel
212;A liquor store
213;A local bus
214;A local leader
215;A local mayor
216;A local prosecutor
217;A Local Residence
218;A logging company
219;A Luxury Home
220;A Madeconian civiian in Tetovo
221;A major French company
222;A man in Nyeri
223;A market in Dimapur.
224;A market in Quetta, Pakistan
225;A market in the town.
226;A Match Factory
227;A member of Yemen's consultative council
228;A memorial
229;A microwave station
230;A middle school
231;A mobile phone tower operator and his son
232;A Mohajir Qaumi Movement - Haqiqi (MQM-H)
233;A mosque
234;A mosque in Khost (Province)
235;A movie house
236;A Municipal Building
237;A municipal official
238;A Muslim civilian
239;A Muslim imam
240;A Muslim Thai man working for Thai security Forces
241;A navy captain
242;A non-denominational church
243;A Pakistani Army check post
244;A Pakistani citizen
245;A Pakistani civilian
246;A passenger bus
247;A passenger ferry
248;A passenger plane
249;A passenger train
250;A pet supplier
251;A pharmacy
252;A pipeline in Northern Iraq
