id_groupe_terroriste;libellé_groupe_terroriste
0;unspecified
1;1 May
2;14 K Triad
3;14 March Coalition
4;14th of December Command
5;15th of September Liberation Legion
6;16 January Organization for the Liberation of Tripoli
7;1920 Revolution Brigades
8;19th of July Christian Resistance Brigade
9;1st of May Group
10;2 April Group
11;20 December Movement (M-20)
12;22 May 1948
13;23 May Democratic Alliance (Algeria)
14;23rd of September Communist League
15;28 February Armed Group
16;28 May Armenian Organization
17;28s
18;28th of December Group
19;2nd of June Movement
20;31 January People's Front (FP-31)
21;313 Brigade
22;313 Brigade (Syria)
23;4 August National Organization
24;7 April Libyan Organization
25;8 March Coalition
26;9 February
27;9 May People's Liberation Force
28;A Resistance Group
29;Aba Cheali Group
30;Abbala extremists
31;Abd al-Krim Commandos
32;Abdul Ghani Kikli Militia
33;Abdul Qader Husseini Battalions of the Free Palestine movement
34;Abdullah Azzam Brigades
35;Abida Tribe
36;Abkhazian guerrillas
37;Abkhazian Separatists
38;Abstentionist Brigades
39;Abu Amarah Battalion
40;Abu Baker al-Siddiq Brigade
41;Abu Baker Martyr Group
42;Abu Bakr Unis Jabr Brigade
43;Abu Hafs al-Masri Brigades
44;Abu Hafs Katibatul al-Ghurba al-Mujahideen
45;Abu Hassan
46;Abu Jaafar al-Mansur Brigades
47;Abu Musa Group
48;Abu Nidal Organization (ANO)
49;Abu Obaida bin Jarrah Brigade
50;Abu Salim Martyr's Brigade
51;Abu Sayyaf Group (ASG)
52;Abu Tira (Central Reserve Forces)
53;Aceh Singkil Islamic Care Youth Students Association (PPI)
54;Achik Matgrik Army (AMA)
55;A'chik Matgrik Elite Force (AMEF)
56;Achik National Cooperative Army (ANCA)
57;Achik National Liberation Army (ANLA)
58;Achik National Volunteer Council (ANVC)
59;Achik National Volunteer Council-B (ANVC-B)
60;Achik Songna An'pachakgipa Kotok (ASAK)
61;Achik Tiger Force
62;Achwan-I-Mushbani
63;Actiefront Nationalistisch Nederland
64;Action Directe
65;Action Front for the Liberation of the Baltic Countries
66;Action Front Nationalist Librium
67;Action Group for Communism
68;Action Group for the Destruction of the Police State
69;Action Squad
70;Action Struggle Against the World
71;Active Espirit de Corps of the Argentina Army
72;Activists
73;Adan Abyan Islamic Army (AAIA)
74;Adan-Abyan Province of the Islamic State
75;Adivasi Cobra Militants of Assam (ACMA)
76;Adivasi National Liberation Army (ANLA)
77;Adivasi People's Army (APA)
78;Afar rebels
79;Afar Revolutionary Democratic Unity Front
80;AFB
81;Afghan Guerrillas
82;Afghan Merceneries
83;Afghan Mujahideen
84;Afghan Rebels
85;Afghan Revolutionary Front
86;Afghan War Veterans
87;Afghans
88;Africa Marine Commando
89;African National Congress (South Africa)
90;African-American extremists
91;Afridi Tribe
92;Afrikaner Resistance Movement (AWB)
93;AGEL
94;"Aghwar ""Fire War"" Group"
95;Agudat Israel Party
96;Agwelek Forces
97;Ahfad al-Sahaba-Aknaf Bayt al-Maqdis
98;Ahle Sunnat Wal Jamaat (ASWJ-Pakistan)
99;Ahlu-sunah Wal-jamea (Somalia)
100;Ahmad Alawi al Muqbili
101;Ahmad Jibril
102;Ahmad Luebaesa Group
103;Ahrar Al-Jalil (Free People of the Galilee)
104;Ahrar al-Sham
105;Aibed Er-Rahman katibet
106;Aidid Militia
107;Air and Azawak Liberation Front
108;Airport Protesters
109;Aisha Umm-al Mouemeneen (Brigades of Aisha)
110;Aitarak Militia
111;Ajnad al-Sham
112;Ajnad Misr
113;Akali Dal Party
114;Akhil Terai Mukti Morcha (ATMM)
115;Akhilesh Singh Gang
116;Al Bayda Province of the Islamic State
117;Al Zawahiri Loyalists
118;Al-Adl Wal Ihsane
119;Al-Ahwaz Arab People's Democratic Front
120;Al-Aqsa Martyrs Brigade
121;Al-Aqsa-Group
122;Al-Arifeen
123;Al-Ashtar Brigades
124;Al-Badr
125;Al-Bakazim
126;Albanian exiles
127;Albanian extremists
128;Albanian Liberation Army
129;Albanian National Army (ANA)
130;Albanian Separatists
131;Al-Barq
132;Albatros Commando
133;Al-Borkan Liberation Organization
134;Alcubar group
135;Al-Da'wah Party
136;Alde Hemendik Movement
137;Alejo Calatayu
138;Aleppo Fatah Operations Room
139;Alex Boncayao Brigade (ABB)
140;Alexander Villalon (YADO)
141;Alexandros Grigoropoulos Anarchist Attack Group
142;Alfa 83
143;Al-Fajr
144;Al-Faran
145;Alfaro Vive
146;Al-Faruo Battalion
147;Al-Faruq Militia
